bedrijf,domein,domein_bron,functie,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm,scanstatus,platform,producten,markten,cs_tools,review_tools,webshop,b2b,kvk,postcode,telefoon,reviewaantal
OrbusNeich Medical Company Ltd.,orbusneich.com,geraden en bevestigd,Customer Relations Coordinator,2026-09-22,Hoevelaken,1,nee,https://nl.linkedin.com/jobs/view/customer-relations-coordinator-at-orbusneich-medical-company-ltd-4470286316,customer happiness,ok,,,4,,,,,,3871 AN,,
Oxford Global Resources,oxfordglobal.com,geraden en bevestigd,"Klantenservice Medewerker - Frans, Nederlands, Engels",2026-08-31,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-frans-nederlands-engels-at-oxford-global-resources-4459792285,klantenservice medewerker,ok,,,,hubspot,,,,,,+441865248455,
Palo Alto Networks,paloaltonetworks.com,geraden en bevestigd,Staff Customer Success Engineer,2026-09-18,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/staff-customer-success-engineer-at-palo-alto-networks-4466683134,customer happiness,ok,,,18,,,,,,,,
Pensify,pensify.com,geraden en bevestigd,Customer Success Manager,2026-09-10,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-pensify-4465684096,customer happiness,ok,,,,,,ja,,42135991,1016 DV,,
Permobil,permobil.com,geraden en bevestigd,Customer Support Representative,2026-09-06,Oisterwijk,1,nee,https://nl.linkedin.com/jobs/view/customer-support-representative-at-permobil-4400388875,klantenservice medewerker,ok,,,,intercom|chatgpt-bot,,,,,1080 HD,,
PGGM,pggm.nl,geraden en bevestigd,Klantcontact medewerker klantcontact BPF Schilders,2026-09-17,Zeist,1,nee,https://nl.linkedin.com/jobs/view/klantcontact-medewerker-klantcontact-bpf-schilders-at-pggm-4468602316,klantenservice medewerker,ok,,,,,,,,,3700 AC,,
PharmaPartners,pharmapartners.nl,geraden en bevestigd,Customer Care Specialist,2026-09-19,Oosterhout,1,nee,https://nl.linkedin.com/jobs/view/customer-care-specialist-at-pharmapartners-4455856177,klantenservice medewerker,ok,,,,,,,,,,,
PinkRoccade Local Government,pinkroccadelocalgovernment.nl,geraden en bevestigd,Manager Customer Care Samenlevingszaken (lid MT),2026-09-21,s-Hertogenbosch Area,1,nee,https://nl.linkedin.com/jobs/view/manager-customer-care-samenlevingszaken-lid-mt-at-pinkroccade-local-government-4468750854,customer happiness,ok,,,,,,,,,2026 AI,088 110 1500,
Plieger,plieger.nl,geraden en bevestigd,IT Support Medewerker,2026-06-17,Zaltbommel,1,nee,https://nl.linkedin.com/jobs/view/it-support-medewerker-at-plieger-4426882717,webcare medewerker,ok,,,,hubspot,,ja,ja,,,,
Pluripharm Groep,pluripharm.com,geraden en bevestigd,Medewerker Customer Services,2026-09-13,Alkmaar,1,nee,https://nl.linkedin.com/jobs/view/medewerker-customer-services-at-pluripharm-groep-4439035928,klantenservice medewerker,ok,,,5,,,,ja,,1812 PP,+310723034310,
Pluvo,pluvo.com,geraden en bevestigd,Customer Success Manager,2026-09-11,Amsterdam Area,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-pluvo-4466060567,customer happiness,ok,,,3,hubspot|chatgpt-bot,,,,88899284,1018 AD,+31(20)5605002,
Prada,prada.com,geraden en bevestigd,"PRADA Client Advisor MRTW (m/f/d), De Bijenkorf",2026-09-18,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/prada-client-advisor-mrtw-m-f-d-de-bijenkorf-at-prada-4467886289,customer happiness,ok,,,62,,,,,,,+31 20 808 5516,
Print.com,print.com,geraden en bevestigd,After Sales Specialist - Klantrelatie &amp; Complaints,2026-09-10,Deventer,3,nee,https://nl.linkedin.com/jobs/view/after-sales-specialist-klantrelatie-complaints-at-print-com-4465607153,customer happiness,ok,woocommerce,,14,hubspot,,ja,,69059500,7418 AM,,
project44,project44.com,geraden en bevestigd,Customer Success Manager,2026-09-15,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-project44-4465266062,customer happiness,ok,,,,chatgpt-bot,,,,,,,
Property Plan,propertyplan.com,geraden en bevestigd,Front-end Developer,2026-09-10,'s-Hertogenbosch,1,nee,https://nl.linkedin.com/jobs/view/front-end-developer-at-property-plan-4463437958,webcare medewerker,ok,,,,,,,,,,,
Proprli,proprli.com,geraden en bevestigd,Customer Support Professional at team Proprli (NL),2026-07-17,Heerde,1,nee,https://nl.linkedin.com/jobs/view/customer-support-professional%0Aat-team-proprli-nl-at-proprli-4441325540,customer happiness,ok,,,4,,,,,,1863DC,,
Proxsys,proxsys.nl,geraden en bevestigd,Skilled Servicedesk Medewerker,2026-06-18,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/skilled-servicedesk-medewerker-at-proxsys-4439773635,webcare medewerker,ok,,,,hubspot,,,,11051004,4207 GN,0887769797,
PS Calamiteiten,pscalamiteiten.nl,geraden en bevestigd,Medewerker Calamiteiten,2026-06-03,Almere,1,nee,https://nl.linkedin.com/jobs/view/medewerker-calamiteiten-at-ps-calamiteiten-4422942508,webcare medewerker,ok,,,,,,,,,1332 AD,0888730000,
PSI CRO,psi-cro.com,geraden en bevestigd,Site Management Associate,2026-09-15,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/site-management-associate-at-psi-cro-4465542548,webcare medewerker,ok,woocommerce,,,,,ja,,,,,
Quatt,quatt.io,geraden en bevestigd,Customer Success Manager - Installations,2026-09-08,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-installations-at-quatt-4462418926,customer happiness,ok,,,,hubspot|chatgpt-bot,trustpilot,,,82048037,1062 HJ,+31851300622,
Quooker,quooker.nl,geraden en bevestigd,Information Technology Support Specialist,2026-09-16,Ridderkerk,1,nee,https://nl.linkedin.com/jobs/view/information-technology-support-specialist-at-quooker-4455729021,webcare medewerker,ok,,,,,,ja,,,2984 AJ,,
Redcare Pharmacy,redcarepharmacy.com,geraden en bevestigd,Magazijnmedewerker (m/v/x) Fulltime in Sevenum,2026-09-18,Sevenum,2,nee,https://nl.linkedin.com/jobs/view/magazijnmedewerker-m-v-x-fulltime-in-sevenum-at-redcare-pharmacy-4466672636,webcare medewerker,ok,woocommerce,,,,,ja,,,,,
RedCarpet®,redcarpet.com,geraden en bevestigd,Klantenservicemedewerker met ervaring,2026-09-22,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/klantenservicemedewerker-met-ervaring-at-redcarpet%C2%AE-4470290922,klantenservice medewerker,ok,,,,,,,,,,,
Richemont,richemont.com,geraden en bevestigd,E-Boutique Client Advisor French Speaking,2026-09-18,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/e-boutique-client-advisor-french-speaking-at-richemont-4467886933,customer happiness,ok,,,3,,,,,,,,
Ricoh Nederland,ricoh.nl,geraden en bevestigd,Key Account Customer Service Agent | Den Bosch | Hybrid,2026-07-29,'s-Hertogenbosch,1,nee,https://nl.linkedin.com/jobs/view/key-account-customer-service-agent-den-bosch-hybrid-at-ricoh-nederland-4444962081,klantenservice medewerker,ok,,,,,,,,,,,
Roadsoft,roadsoft.com,geraden en bevestigd,Customer Success Specialist (Onboarding &amp; Support),2026-09-17,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-specialist-onboarding-support-at-roadsoft-4468663286,customer happiness,ok,,,,,,,,,,,
ROCKWOOL Group,rockwool.com,geraden en bevestigd,Customer Services Employee,2026-09-14,Roermond,2,nee,https://nl.linkedin.com/jobs/view/customer-services-employee-at-rockwool-group-4467030929,klantenservice medewerker,ok,,,,chatgpt-bot,,,,,,+45 46 56 03 00,
Royal A-ware,royal-aware.com,geraden en bevestigd,Medewerker Customer Care,2026-09-07,Almere,1,nee,https://nl.linkedin.com/jobs/view/medewerker-customer-care-at-royal-a-ware-4425632190,klantenservice medewerker,ok,,,,,,,,,,+31 (0)88 738 1000,
RVS Clean,rvs-clean.nl,geraden en bevestigd,Cleanroom medewerker,2026-05-23,Bergeyk,1,nee,https://nl.linkedin.com/jobs/view/cleanroom-medewerker-at-rvs-clean-4429783675,webcare medewerker,ok,,,4,,,,,,5571 SP,0497 - 78 23 0,
Salute,salute.nl,geraden en bevestigd,Data Centre NOC Operator,2026-08-07,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/data-centre-noc-operator-at-salute-4460250542,webcare medewerker,ok,,,,,,,,,8011 RE,0384237566,
Saxo Bank,home.saxo,geraden en bevestigd,Client Service Associate (French + Dutch Speaking),2026-09-12,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/client-service-associate-french-%2B-dutch-speaking-at-saxo-bank-4036618828,customer happiness,ok,,,58,,trustpilot,,,,,,
Secure Design Webdevelopment,securedesign.nl,geraden en bevestigd,"Vacature front-end developer (mbo / hbo, Leiden, 32-40 uur)",2026-07-09,Leiden,3,nee,https://nl.linkedin.com/jobs/view/vacature-front-end-developer-mbo-hbo-leiden-32-40-uur-at-secure-design-webdevelopment-4448391541,webcare medewerker,ok,woocommerce|magento,,2,,,ja,,27381098,2321 DG,0713627963,
Sedgwick,sedgwick.com,geraden en bevestigd,Administratief Medewerker,2026-09-03,Amstelveen,1,nee,https://nl.linkedin.com/jobs/view/administratief-medewerker-at-sedgwick-4256918853,webcare medewerker,ok,,,8,hubspot|chatgpt-bot,,,,,,,
Select Courier International B.V.,selectcourier.com,geraden en bevestigd,CUSTOMER SERVICE,2026-07-21,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-service-at-select-courier-international-b-v-4442661805,klantenservice medewerker,ok,woocommerce|magento,,2,,,ja,,52767574,3045 AP,0102237006,
Sendcloud,sendcloud.com,geraden en bevestigd,Customer Support Consultant - Benelux,2026-08-31,Eindhoven,1,nee,https://nl.linkedin.com/jobs/view/customer-support-consultant-benelux-at-sendcloud-4460023105,klantenservice medewerker,ok,magento|prestashop,,11,hubspot,trustpilot|loox,ja,,,,,
Sense Company,sense-company.com,geraden en bevestigd,Customer Care Specialist,2026-09-16,Tilburg,1,nee,https://nl.linkedin.com/jobs/view/customer-care-specialist-at-sense-company-4467079261,customer happiness,ok,,,9,hubspot,,,,,5026 RH,+31134600112,
Shoppartners B.V.,shoppartners.nl,geraden en bevestigd,Junior Content medewerker - 32 tot 40 uur per week,2026-09-11,Heerhugowaard,2,nee,https://nl.linkedin.com/jobs/view/junior-content-medewerker-32-tot-40-uur-per-week-at-shoppartners-b-v-4465148462,webcare medewerker,ok,,,,,feedbackcompany,ja,,,,,
Simac,simac.com,geraden en bevestigd,Customer Experience Manager Healthcare (regio Den Haag/Rotterdam),2026-02-27,Utrecht,2,nee,https://nl.linkedin.com/jobs/view/customer-experience-manager-healthcare-regio-den-haag-rotterdam-at-simac-4377933710,customer happiness,ok,,,3,hubspot,,,,,5503 LL,,
Simvia,simvia.com,geraden en bevestigd,Customer Success Manager - Benelux - Growing Impact Scale Up,2026-09-21,Amsterdam,3,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-benelux-growing-impact-scale-up-at-simvia-4469842764,customer happiness,ok,,,7,hubspot,,,,,1012 SH,,
Sligro Food Group,sligrofood.com,geraden en bevestigd,Medewerker Customer Care,2026-09-22,Breda,1,nee,https://nl.linkedin.com/jobs/view/medewerker-customer-care-at-sligro-food-group-4470293178,klantenservice medewerker,ok,,,,,,,,,,,
Smart Health,smarthealth.live,geraden en bevestigd,Online marketeer,2026-04-07,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/online-marketeer-at-smart-health-4398376296,webcare medewerker,ok,,,,,,,,,,,
Smartwares Group,smartwares.eu,geraden en bevestigd,Customer Contact Specialist (E-commerce),2026-09-08,Tilburg,1,nee,https://nl.linkedin.com/jobs/view/customer-contact-specialist-e-commerce-at-smartwares-group-4462505766,customer happiness,ok,,,15,intercom|freshdesk,,,,18035465,5048 AV,,
Smollan Netherlands,smollan.com,geraden en bevestigd,Customer Success Medewerker,2026-08-21,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-medewerker-at-smollan-netherlands-4447520039,customer happiness,ok,,,6,,,,,,,,
Snelstart,snelstart.nl,geraden en bevestigd,Klantenservice Medewerker Amersfoort,2026-08-25,Amersfoort,1,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-amersfoort-at-snelstart-4447533157,klantenservice medewerker,ok,,,,hubspot,trustpilot,,,37054131,1817 MS,+31222363060,3.420
Solid Partners ICT Groep,solidpartners.nl,geraden en bevestigd,ServiceDesk Medewerker (IT Support Engineer),2026-07-23,Raalte,1,nee,https://nl.linkedin.com/jobs/view/servicedesk-medewerker-it-support-engineer-at-solid-partners-ict-groep-4441553368,webcare medewerker,ok,,,,,,,,08099295,8102 HX,0857921100,
Sonova Group,sonova.com,geraden en bevestigd,Customer Service employee,2026-09-18,Vianen,1,nee,https://nl.linkedin.com/jobs/view/customer-service-employee-at-sonova-group-4383396850,klantenservice medewerker,ok,,,18,,,,,,,,
Spacewell,spacewell.com,geraden en bevestigd,Customer Success Manager,2026-04-30,Arnhem,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-spacewell-4408796947,customer happiness,ok,,,,hubspot,,,,,6835 EA,,
Spectrum Equity,spectrumequity.com,geraden en bevestigd,"EMEA Customer Success Manager, Nordic Speaker",2026-09-15,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/emea-customer-success-manager-nordic-speaker-at-spectrum-equity-4465563415,customer happiness,ok,,,,,,,,,,617-464-4600,
SPS Commerce,spscommerce.com,geraden en bevestigd,Customer Success Manager III,2026-09-03,Breukelen,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-iii-at-sps-commerce-4461695365,customer happiness,ok,,,8,,,,,,,,
stichd,stichd.com,geraden en bevestigd,Customer Service Representative (Formula 1 &amp; Football),2026-09-17,'s-Hertogenbosch,1,nee,https://nl.linkedin.com/jobs/view/customer-service-representative-formula-1-football-at-stichd-4468608843,klantenservice medewerker,ok,,,,,,,,,5211 HC,+31 73 688 93 93,
STOX Energy Socks,stoxenergy.com,geraden en bevestigd,Customer Service Specialist,2026-09-04,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-service-specialist-at-stox-energy-socks-4463382019,klantenservice medewerker,ok,shopify,246,23,whatsapp,trustpilot|trustedshops,ja,,,1076DE,+31202600129,
Studenten.net,studentennet.com,geraden en bevestigd,Zwolle productiemedewerker,2026-09-18,Zwolle,4,nee,https://nl.linkedin.com/jobs/view/zwolle-productiemedewerker-at-studenten-net-4469258568,webcare medewerker,ok,,,,,,,,,,,
Suitsupply,suitsupply.com,geraden en bevestigd,Customer Service Specialist,2026-09-22,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-service-specialist-at-suitsupply-4326536412,klantenservice medewerker,ok,shopify,,,whatsapp,,ja,,,1079 MZ,0800 020 6227,
SumUp,sumup.com,geraden en bevestigd,Customer Support Agent,2026-09-02,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-support-agent-at-sumup-4421965211,klantenservice medewerker,ok,,,,,,,,,,,
Sunny Cars,sunnycars.nl,geraden en bevestigd,Customer Service Expert (24-40 uur),2026-09-09,Haarlem,1,nee,https://nl.linkedin.com/jobs/view/customer-service-expert-24-40-uur-at-sunny-cars-4465026977,klantenservice medewerker,ok,,,10,,,,,,,0235699696,
Swiss Sense,swisssense.nl,geraden en bevestigd,Web Analist Digital Commerce,2026-09-14,Uden,1,nee,https://nl.linkedin.com/jobs/view/web-analist-digital-commerce-at-swiss-sense-4467094489,webcare medewerker,ok,,,,,trustpilot,ja,,,,0850687777,
Tangent,tangent.com,geraden en bevestigd,Entry level Customer Success Manager (€30-€60k salary + commission),2026-09-04,Amsterdam Area,1,nee,https://nl.linkedin.com/jobs/view/entry-level-customer-success-manager-%E2%82%AC30-%E2%82%AC60k-salary-%2B-commission-at-tangent-4463361874,customer happiness,ok,,,,tawk,,,,,,+18003429388,
Tarkett,tarkett.nl,geraden en bevestigd,Customer Service Representative,2026-06-26,Waalwijk,1,nee,https://nl.linkedin.com/jobs/view/customer-service-representative-at-tarkett-4431709604,klantenservice medewerker,ok,,,,,,,,,,,
Tech Rise,techrise.nl,geraden en bevestigd,Head of Customer Success,2026-09-22,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/head-of-customer-success-at-tech-rise-4456583876,customer happiness,ok,woocommerce,,,,,ja,,,1081 LH,+31203629917,
Technische Unie,technischeunie.nl,geraden en bevestigd,Customer Service Medewerker,2026-09-17,Zwolle,6,nee,https://nl.linkedin.com/jobs/view/customer-service-medewerker-at-technische-unie-4466956665,klantenservice medewerker,ok,,,,whatsapp,,ja,ja,,,,
Tellent,tellent.com,geraden en bevestigd,Digital Customer Success Manager - Benelux,2026-09-21,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/digital-customer-success-manager-benelux-at-tellent-4467383612,customer happiness,ok,,,4,hubspot,,,,,1016 EE,,
Termeer Groep,mooiedomeinnaam.nl,geraden en bevestigd,Webshopmedewerker (maandag),2026-09-16,Tilburg,1,nee,https://nl.linkedin.com/jobs/view/webshopmedewerker-maandag-at-termeer-groep-4371879320,webcare medewerker,ok,,,,whatsapp,,ja,,,3353HC,+31888777555,
The Dare Company,thedarecompany.com,geraden en bevestigd,Vacature Front end developer,2026-07-10,Rotterdam,3,nee,https://nl.linkedin.com/jobs/view/vacature-front-end-developer-at-the-dare-company-4449069211,webcare medewerker,ok,,,3,whatsapp,,,,,3011 TX,+31105223332,
Tibber,tibber.com:443,geraden en bevestigd,Customer Support Specialist,2026-09-08,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-support-specialist-at-tibber-4414816920,klantenservice medewerker,ok,,,,intercom,,,,80004245,1015 CJ,,
TOPdesk,topdesk.com,geraden en bevestigd,Customer Succes Manager (NL),2026-09-14,Delft,1,nee,https://nl.linkedin.com/jobs/view/customer-succes-manager-nl-at-topdesk-4465762335,customer happiness,ok,,,6,hubspot,,,,,,,
Treatwell,treatwell.nl,geraden en bevestigd,Customer Success Manager NL,2026-09-18,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-nl-at-treatwell-4469133608,webcare medewerker,ok,,,,chatgpt-bot,trustpilot,,,,1017 HG,,
Triodos Bank,triodos.nl,geraden en bevestigd,Head of Customer Services TBNL,2026-09-02,Driebergen-Rijsenburg,1,nee,https://nl.linkedin.com/jobs/view/head-of-customer-services-tbnl-at-triodos-bank-4462440160,customer happiness,ok,,,,,,,,,,,
Troostwijk Auctions,troostwijkauctions.com,geraden en bevestigd,Klantenservice medewerker,2026-09-02,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-at-troostwijk-auctions-4457342326,klantenservice medewerker,ok,,,,zendesk,trustpilot,ja,,,1062 XD,,
Trusted Shops,trustedshops.nl,geraden en bevestigd,Customer Success Manager Benelux (f/m/d),2026-09-07,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-benelux-f-m-d-at-trusted-shops-4461893682,customer happiness,ok,,,12,hubspot,trustedshops,ja,,,,,
Trustoo.nl,trustoo.nl,geraden en bevestigd,Customer Success Manager,2026-09-03,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-trustoo-nl-4460735308,customer happiness,ok,,,,,trustpilot|klantenvertellen,,,,,,
Twentyseven,hoteltwentyseven.com,geraden en bevestigd,Open sollicitatie - Twentyseven,2024-11-26,Eindhoven,1,nee,https://nl.linkedin.com/jobs/view/open-sollicitatie-twentyseven-at-twentyseven-4085642446,webcare medewerker,ok,,,12,whatsapp,,ja,,,1012 JS,+31202182180,
Ultimesh,ultimesh.nl,geraden en bevestigd,E-commerce Medewerker,2026-09-11,Hellevoetsluis,1,nee,https://nl.linkedin.com/jobs/view/e-commerce-medewerker-at-ultimesh-4466068170,webcare medewerker,ok,,,,whatsapp,,,ja,,3225 MA,+31181411802,
UMC Utrecht,umcutrecht.nl,geraden en bevestigd,Medewerker schoonmaak &amp; services,2026-04-14,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/medewerker-schoonmaak-services-at-umc-utrecht-4392436330,webcare medewerker,ok,,,3,,,,,,3584 CX,088 75 555 55,
Valicare,valicare.nl,geraden en bevestigd,PHP Developer,2026-08-01,Den Haag,2,nee,https://nl.linkedin.com/jobs/view/php-developer-at-valicare-4445558465,webcare medewerker,ok,,,3,,,,,,,,
VAMAT,vamat.nl,geraden en bevestigd,Medewerker Customer Service,2026-09-08,"Utrecht, Nederland",1,nee,https://nl.linkedin.com/jobs/view/medewerker-customer-service-at-vamat-4464449514,klantenservice medewerker,ok,,,4,,,,ja,,3526 KV,,
Van den Bosch,vandenbosch.nl,geraden en bevestigd,Klantenservicemedewerker,2026-09-03,Erp,1,nee,https://nl.linkedin.com/jobs/view/klantenservicemedewerker-at-van-den-bosch-4462788081,klantenservice medewerker,ok,woocommerce,,20,,,ja,ja,,4191 MS,+31 345 581490,
Van der Hoeven Kliniek,hoevenkliniek.nl,geraden en bevestigd,Medewerker beveiliging en receptie,2026-09-16,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/medewerker-beveiliging-en-receptie-at-van-der-hoeven-kliniek-4459146998,webcare medewerker,ok,,,,,,,,,3515 GB,0302758275,
Van der Knaap,vanderknaap.nl,geraden en bevestigd,"Medewerker marketing, communicatie en events",2026-09-14,Kwintsheul,1,nee,https://nl.linkedin.com/jobs/view/medewerker-marketing-communicatie-en-events-at-van-der-knaap-4467073432,webcare medewerker,ok,,,,,,,,,6903 HH,0316 - 52 31 31,
Van Gooi,vangooi.com,geraden en bevestigd,Front-end Developer (Energy Systems),2026-08-18,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/front-end-developer-energy-systems-at-van-gooi-4452846493,webcare medewerker,ok,,,,,,,,,1216 SE,+31 (0)35 303 1900,
Van Mossel Automotive Group,vanmossel.nl,geraden en bevestigd,Medewerker Klantenservice,2026-08-11,Tilburg,3,nee,https://nl.linkedin.com/jobs/view/medewerker-klantenservice-at-van-mossel-automotive-group-4455292954,klantenservice medewerker,ok,,,3,hubspot,trustpilot,,,,,+31416820700,
Van Nieuwpoort Groep,vannieuwpoort.com,geraden en bevestigd,Medewerker marketingcommunicatie,2026-09-04,Gouda,1,nee,https://nl.linkedin.com/jobs/view/medewerker-marketingcommunicatie-at-van-nieuwpoort-groep-4461171249,webcare medewerker,ok,,,,,,,,,,,
Vandebron,vandebron.nl,geraden en bevestigd,Customer Service Medewerker,2026-05-28,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-service-medewerker-at-vandebron-4431658020,klantenservice medewerker,ok,,,,whatsapp|chatgpt-bot,klantenvertellen,,,59394218,1013KS,0880 444 555,5338
VAST.,vast.nl,geraden en bevestigd,E‑commerce Specialist,2026-07-14,'s-Heerenberg,1,nee,https://nl.linkedin.com/jobs/view/e%E2%80%91commerce-specialist-at-vast-4440568385,webcare medewerker,ok,,,,,,,,,,,
Vecht en IJssel,vechtenijssel.nl,geraden en bevestigd,Open sollicitatie,2025-03-26,IJsselstein,1,nee,https://nl.linkedin.com/jobs/view/open-sollicitatie-at-vecht-en-ijssel-4190977851,webcare medewerker,ok,,,1,,,,,,3526 XB,030 3033 500,
VELUX,velux.nl,geraden en bevestigd,Customer Service Professional met technische affiniteit,2026-09-09,De Meern,3,nee,https://nl.linkedin.com/jobs/view/customer-service-professional-met-technische-affiniteit-at-velux-4465054190,klantenservice medewerker,ok,,,32,hubspot,,,,46911415,,,
Verathon,verathon.com,geraden en bevestigd,Customer Service Specialist,2026-08-31,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-service-specialist-at-verathon-4460070748,klantenservice medewerker,ok,,,1,hubspot,,,,,,,
Verisure,verisure.nl,geraden en bevestigd,Klantenservice medewerker Inbound,2026-09-17,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-inbound-at-verisure-4466254242,klantenservice medewerker,ok,,,25,,trustpilot,,,17158925,1101AA,0880888989,
Vermaat,linkedin.com,geraden en bevestigd,Horecamedewerker Antoni van Leeuwenhoek,2026-08-26,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/horecamedewerker-antoni-van-leeuwenhoek-at-vermaat-4461442279,webcare medewerker,ok,,,77,zendesk,,,,,,,
versAlert B.V.,versalert.nl,geraden en bevestigd,Klantsupport medewerker,2026-09-10,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/klantsupport-medewerker-at-versalert-b-v-4463455293,klantenservice medewerker,ok,,,,,,,ja,,3454 PT,030 - 7517600,
Verzuimdata,verzuimdata.nl,geraden en bevestigd,Medewerker Service &amp; Support,2026-09-14,Ridderkerk,1,nee,https://nl.linkedin.com/jobs/view/medewerker-service-support-at-verzuimdata-b-v-4440557380,webcare medewerker,ok,,,,,,,,,,,
Veynex Embedded Software,veynex.com,geraden en bevestigd,ICT Support Medewerker,2026-07-03,Maastricht,3,nee,https://nl.linkedin.com/jobs/view/ict-support-medewerker-at-veynex-embedded-software-4446509258,webcare medewerker,ok,,,4,,,,,57145393,6163 CX,+31452053333,
Viamanta,viamanta.com,geraden en bevestigd,Partner Success Specialist (m/f/x),2026-06-02,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/partner-success-specialist-m-f-x-at-viamanta-4423923357,customer happiness,ok,,,3,hubspot,,,,94922896,1101 BH,,
ViewSonic,viewsonic.com,geraden en bevestigd,Customer Success Coordinator German,2026-09-04,Weesp,1,nee,https://nl.linkedin.com/jobs/view/customer-success-coordinator-german-at-viewsonic-4461974451,customer happiness,ok,magento,,3,freshdesk,yotpo,ja,,,,,
Viking Europe,viking-europe.com,geraden en bevestigd,Local Commercial Web Manager NLD,2026-09-16,Venlo,1,nee,https://nl.linkedin.com/jobs/view/local-commercial-web-manager-nld-at-viking-europe-4468262157,webcare medewerker,ok,magento,,,,,ja,,,,+48338281830,
Viking Nederland,viking.nl,geraden en bevestigd,Local Commercial Web Manager NLD,2026-09-16,Venlo,1,nee,https://nl.linkedin.com/jobs/view/local-commercial-web-manager-nld-at-viking-nederland-4468261625,webcare medewerker,ok,,,2,,,ja,,,1327 CJ,,
VIKTOR,viktor.com,geraden en bevestigd,Customer Success Manager,2026-09-15,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-viktor-4467494832,customer happiness,ok,,,,hubspot|chatgpt-bot,,,,,,,
Vintage.com,vintage.com,geraden en bevestigd,French Customer Experience Agent,2026-09-15,Duiven,3,nee,https://nl.linkedin.com/jobs/view/french-customer-experience-agent-at-vintage-com-4464134036,klantenservice medewerker,ok,,,7,hubspot,trustpilot,,,,6921 PW,+318000200076,670
VIPS PMS,vipspms.com,geraden en bevestigd,Customer Success &amp; Accountmanager VIPS PMS,2026-08-27,Nieuwegein,1,nee,https://nl.linkedin.com/jobs/view/customer-success-accountmanager-vips-pms-at-vips-pms-4458962293,customer happiness,ok,lightspeed,,2,,,ja,,,3436 ZZ,+31881304400,
Virtual Assistant Team,virtualassistantteam.com.au,geraden en bevestigd,Digital Marketer with Click Funnels,2025-04-03,Est,1,nee,https://nl.linkedin.com/jobs/view/digital-marketer-with-click-funnels-at-virtual-assistant-team-4197787540,webcare medewerker,ok,woocommerce|magento|shopware,,,intercom|hubspot,,ja,,,,,
Voetencentrum Wender,voetencentrumnoordwijk.nl,geraden en bevestigd,Medewerker Servicedesk,2026-09-09,Hengelo,1,nee,https://nl.linkedin.com/jobs/view/medewerker-servicedesk-at-voetencentrum-wender-4465058771,webcare medewerker,ok,,,,,,,,27327553,2201 HC,071-3623016,
