bedrijf,domein,domein_bron,functie,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm,scanstatus,platform,producten,markten,cs_tools,review_tools,webshop,b2b,winkeltaal,dienstverlener,kvk,postcode,telefoon,reviewaantal,reviewscore,reviewschaal,reviewaantal_eigen,reviewbron,reviewplatform,review_url,reviewoordeel
Spring Professional Belgium,springprofessional.be,geraden en bevestigd,Custmer Care FR/NL,2026-09-11,"Brussel, Brussels Hoofdstedelijk Gewest, België",1,nee,https://be.linkedin.com/jobs/view/custmer-care-fr-nl-at-spring-professional-belgium-4466082341,klantenservice medewerker,ok,woocommerce,,,,,ja,,0,,,,,,,,,geen score gevonden,,,
Swap,swap.nl,geraden en bevestigd,Director of Product,2026-09-11,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/director-of-product-at-swap-4437035911,orderpicker webshop,ok,woocommerce,,,,,ja,,1,,,9351VA,,,,,,geen score gevonden,,,
The Branding Club,thebrandingclub.com,geraden en bevestigd,Medior Accountmanager,2026-08-09,Utrecht,2,nee,https://nl.linkedin.com/jobs/view/medior-accountmanager-at-the-branding-club-4450977452,klantcontact,ok,shopify,,4,hubspot,,ja,ja,0,,,,,,4.9,5,,zichtbaar op de pagina,google,https://www.thebrandingclub.com,sterk
The Neon Company,theneoncompany.nl,geraden en bevestigd,Inside Sales Medewerker - Commerciële Binnendienst | €2.500–€3.200 + performance bonus.,2026-08-20,Vianen,1,nee,https://nl.linkedin.com/jobs/view/inside-sales-medewerker-commerci%C3%ABle-binnendienst-%E2%82%AC2-500%E2%80%93%E2%82%AC3-200-%2B-performance-bonus-at-the-neon-company-4456719593,online sales medewerker,ok,woocommerce,,16,,,ja,,1,api[- ]documen,,4131NR,+31 30 207 24 67,,,,,geen score gevonden,google,,
Van Leersum Dranken,vanleersumdranken.nl,geraden en bevestigd,Magazijnmedewerker in Den Haag,2026-05-26,Den Haag,2,nee,https://nl.linkedin.com/jobs/view/magazijnmedewerker-in-den-haag-at-van-leersum-dranken-4419197455,magazijnmedewerker webshop,ok,woocommerce,,,,,ja,ja,2,,,2491 DK,+0703550693,,,,,geen score gevonden,,,
VCM Medical,vcmmedical.eu,geraden en bevestigd,ICT/Service technicus Medisch,2026-09-13,Leusden,1,nee,,webcare,ok,woocommerce,,,,,ja,ja,1,,,3833GN,,,,,,geen score gevonden,,,
Veris Bouwmaterialengroep BV,veris.nl,geraden en bevestigd,Directeur inkoop,2026-09-21,Gorinchem,1,nee,https://nl.linkedin.com/jobs/view/directeur-inkoop-at-veris-bouwmaterialengroep-bv-4469961717,voorraadbeheer webshop,ok,woocommerce,,,,,ja,ja,0,,30219442,4202 MS,,,,,,geen score gevonden,,,
Vernay,vernay.com,geraden en bevestigd,Shift Manager,2026-03-26,Oldenzaal,1,nee,https://nl.linkedin.com/jobs/view/shift-manager-at-vernay-4391383581,retourverwerking,ok,woocommerce,,,,,ja,,0,,,1863DC,4049942000,,,,,geen score gevonden,,,
Visser & Visser BV,visservisser.nl,geraden en bevestigd,Inkoper,2026-09-07,Breda,1,nee,https://nl.linkedin.com/jobs/view/inkoper-at-visser-breda-4462936534,voorraadbeheer webshop,ok,woocommerce,,,,,ja,,0,,,3131KX,0031104115620,,,,,geen score gevonden,,,
VOIPZeker,voipzeker.nl,geraden en bevestigd,Sales &amp; Customer Success Medewerker,2026-09-16,Den Haag,1,nee,https://nl.linkedin.com/jobs/view/sales-customer-success-medewerker-at-voipzeker-4468218269,online sales medewerker,ok,woocommerce,,,intercom,,ja,,1,,,2171 TR,0031880660550,,9.6,10,,zichtbaar op de pagina,google,https://voipzeker.nl,sterk
VTS Track Solutions,vtstracksolutions.com,geraden en bevestigd,Commercieel medewerker binnendienst,2026-08-24,Maarheeze,1,nee,https://nl.linkedin.com/jobs/view/commercieel-medewerker-binnendienst-at-vts-track-solutions-4443233675,online sales medewerker,ok,woocommerce,,5,,,ja,,0,,17217384,6026RB,+31495590320,,,,,geen score gevonden,,,
Vulcor Insulation,vulcor.com,geraden en bevestigd,Commercieel Medewerker Binnendienst | Sales &amp; Customer Service,2026-09-15,Heteren,1,nee,https://nl.linkedin.com/jobs/view/commercieel-medewerker-binnendienst-sales-customer-service-at-vulcor-insulation-4467724111,online sales medewerker,ok,woocommerce,,,,,ja,,0,,,6666 MG,+31488700202,,,,,geen score gevonden,,,
Westfalen Medical BV,westfalenmedical.com,geraden en bevestigd,Medewerker logistiek (40 uren/ week),2026-08-28,Deventer,1,nee,https://nl.linkedin.com/jobs/view/medewerker-logistiek-40-uren-week-at-westfalen-medical-bv-4460349078,logistiek medewerker webshop,ok,woocommerce,,1,,,ja,,2,api[- ]documen,52789055,7418 EW,0570858450,,,,,geen score gevonden,,,
Wibra,wibra.nl,geraden en bevestigd,Inkoopassistent,2026-09-07,Epe,2,nee,https://nl.linkedin.com/jobs/view/inkoopassistent-at-wibra-4464305628,voorraadbeheer webshop,ok,woocommerce,,,zendesk,trustpilot,ja,ja,3,,,,+31578676333,,4.6,5,,zichtbaar op de pagina,trustpilot,https://www.wibra.nl,sterk
Wielervoeding.nl,wielervoeding.nl,geraden en bevestigd,Allround Medewerker bij Wielervoeding.nl - Veghel,2026-08-04,Uden-Veghel en omgeving,1,nee,https://nl.linkedin.com/jobs/view/allround-medewerker-bij-wielervoeding-nl-veghel-at-wielervoeding-nl-4449083338,logistiek medewerker webshop,ok,,,,whatsapp,,ja,,4,,73775398,2000 AA,,,,,,geen score gevonden,,,
Willem Dijk AGF,willemdijk.nl,geraden en bevestigd,Loodsmedewerker,2026-04-09,Enschede,1,nee,https://nl.linkedin.com/jobs/view/loodsmedewerker-at-willem-dijk-agf-4399861654,logistiek medewerker webshop,ok,woocommerce,,4,,,ja,ja,0,veiling,,7547 SJ,+31534325800,,,,,geen score gevonden,,,
Winparts,winparts.be,geraden en bevestigd,CRM Specialist,2026-09-15,Groningen,2,nee,https://nl.linkedin.com/jobs/view/crm-specialist-at-winparts-4467718687,customer journey specialist,ok,,,8,,kiyoh,ja,,0,,,6718XP,,,,,,geen score gevonden,kiyoh,,
Worldstream - Solid IT. No Surprises.,worldstream.com,geraden en bevestigd,TechCare Engineer,2026-08-04,Naaldwijk,1,nee,https://nl.linkedin.com/jobs/view/techcare-engineer-at-worldstream-solid-it-no-surprises-4460827507,webcare,ok,,,,freshdesk,,ja,,0,api[- ]documen,,,,,,,,geen score gevonden,,,
Zolemba B.V.,zolemba.nl,geraden en bevestigd,Customer Service Medewerker,2026-08-04,Haaksbergen,1,nee,https://nl.linkedin.com/jobs/view/customer-service-medewerker-at-zolemba-b-v-4448556738,online sales medewerker,ok,,,26,,,ja,,0,,,7482 GZ,,,,,,geen score gevonden,,,
