bedrijf,domein,vertical,http,final_url,titel,platform,producten,cs_tools,review_tools,marketing,kanalen,talen,markten,vacature_cs,b2b_wholesale,notitie
Wakuli,wakuli.com,food-abonnement,200,https://www.wakuli.com/,Wakuli | The Future Of Coffee &ndash; Wakuli Coffee,shopify,57,whatsapp-widget,trustpilot|googlereviews,klaviyo|gtm,mail|whatsapp|chat,en|en-be|en-de|nl|nl-be,5,carriere-pagina,ja,
Gaastra,gaastra.eu,fashion,200,https://gaastrastore.com/nl,Gaastra &ndash; GAASTRA Store,shopify,123,,,klaviyo,formulier,de|en|nl,3,,ja,
McGregor,mcgregorfashion.com,fashion,DEAD,,,,,,,,,,,,,
Blue Loop Originals,bluelooporiginals.com,fashion-denim,200,https://www.bluelooporiginals.com/nl/,Blue LOOP Originals | Zero Waste Engineers - Blue LOOP Originals,lightspeed|ccvshop,,,yotpo,gtm|meta-pixel,telefoon|formulier,,0,,ja,
Sandwich,sandwich-fashion.com,fashion-dames,DEAD,,,,,,,,,,,,,
YAYA The Brand,yaya.com,fashion-dames,DEAD,,,,,,,,,,,,,
Sylver,sylver.nl,fashion-dames,200,https://sylver.nl/nl-nl,,,,,,,,,0,,,
Tramontana,tramontana.nl,fashion-dames,200,https://www.tramontana.eu/,Your fashion compliment!,shopware,,zendesk,,gtm,telefoon|chat,,0,carriere-pagina,ja,
Esqualo,esqualo.com,fashion-dames,200,https://www.esqualo.com/,EsQualo | Officiële Online Shop,magento,,tawk,,gtm,formulier|chat,en,1,,ja,
Smashed Lemon,smashedlemon.com,fashion-dames,200,https://smashedlemon.com:443/login_up.php,Plesk Obsidian 18.0.80,,,,,,,,0,,,
Poools,poools.nl,fashion-dames,200,https://poools.nl/,Poools | Official online Shop | SUMMER SALE &ndash; Poools fashion,shopify,324,,,klaviyo,mail|formulier,de|de-ad|de-al|de-at|de-ba|de-be|de-bg|de-by|de-ch|de-cy|de-cz|de-de|de-dk|de-ee|de-es|de-fi|de-fo|de-fr|de-gb|de-gi|de-,144,carriere-pagina,ja,
Angelle Milan,angellemilan.com,fashion-dames,DEAD,,,,,,,,,,,,,
Sapph,sapph.com,lingerie,200,https://www.sapph.com/,Sapph Lingerie - Just for you,shopify,230,gorgias,,klaviyo,formulier|chat,,0,carriere-pagina,ja,
Marlies Dekkers,marliesdekkers.com,lingerie,200,https://www.marliesdekkers.com/,Marlies Dekkers Lingerie &amp; Swimwear | Official Online Store &ndash; marliesdekkers,shopify,606,,yotpo|trustedshops,shopify-plus-hint,mail|formulier,de-at|de-ch|de-de|de-lu|en|en-at|en-au|en-be|en-bg|en-ca|en-ch|en-cz|en-de|en-dk|en-ee|en-es|en-fi|en-fr|en-gb|en-ie|en-,36,CS-vacature-hint,ja,
Cyell,cyell.nl,badmode,DEAD,,,,,,,,,,,,,
LingaDore,lingadore.com,lingerie,200,https://www.lingadore.com/,"LingaDore - Luxurious, affordable lingerie, swimwear and more",woocommerce,,whatsapp-widget,,klaviyo|gtm|tiktok-pixel,telefoon|mail|whatsapp|formulier|chat,,0,carriere-pagina,ja,
Van Lier,vanlier.com,schoenen,200,http://vanlier.com/,VAN LIER | Coming Soon,,,,,,mail,,0,,,
Greve Shoes,greve.nl,schoenen,200,https://www.greve.nl/,Greve.nl,shopify,282,,kiyoh,klaviyo|gtm,telefoon|mail|formulier,,0,,ja,
Wolky,wolky.com,schoenen,200,https://www.wolky.com/,Comfortable Wolky shoes | wolky.com,woocommerce,,,trustpilot|googlereviews,klaviyo|meta-pixel,telefoon|mail|formulier,de-de|en-ca|en-gb|en-us|nl-nl,5,,ja,
Xsensible,xsensible.com,schoenen,200,https://www.xsensible.com/,Xsensible® - The most authentic balance shoe,magento,,,googlereviews,gtm,,,0,carriere-pagina,ja,
Red-Rag,red-rag.nl,kinderschoenen,200,https://www.red-rag.com/,RED-RAG | Officiële webshop | Bekijk nu onze Nieuwe Collectie | Red-Rag,shopware,,whatsapp-widget,trustpilot,gtm,mail|whatsapp|chat,,0,carriere-pagina,ja,
Develab,develab.com,kinderschoenen,200,https://www.develab.com/,De mooiste schoenen van Develab koop je op de officiele webshop,shopware,,,trustpilot,gtm,telefoon|mail,,0,carriere-pagina,ja,
Shoesme,shoesme.nl,kinderschoenen,200,https://www.shoesme.nl/,Kinderschoenen kopen? Nieuwe collectie | Shoesme Webshop,magento|shopware,,zendesk,kiyoh|trustedshops,gtm,telefoon|chat,de|nl-be|nl-nl,3,carriere-pagina,ja,
Bunnies JR,bunniesjr.nl,kinderschoenen,200,https://bunnies.nl/,BunniesJR - Babyschoentjes en Kinderschoenen,shopify,590,,kiyoh,klaviyo|gtm|shopify-plus-hint,formulier,,0,,ja,
BePureHome,bepurehome.nl,home,200,https://woood.nl/,WOOOD | Open up your style,shopify,3000,zendesk,trustpilot|kiyoh|judgeme|trustedshops|googlereviews,klaviyo|gtm,telefoon|mail|formulier|chat,de-de|en|en-ad|en-al|en-at|en-ax|en-ba|en-be|en-bg|en-by|en-ch|en-cz|en-de|en-dk|en-ee|en-es|en-fi|en-fo|en-gg|en-gi|en-,56,carriere-pagina,ja,
Vipack,vipack.com,kindermeubels-be,200,https://vipack.com/,,,,,,,,,0,,,
Meyco Baby,meyco.nl,baby,200,http://meyco.nl/,TransIP - Reserved domain,,,,trustpilot,,,,0,,,
Cottonbaby,cottonbaby.nl,baby,DEAD,,,,,,,,,,,,,
Briljant Baby,briljantbaby.nl,baby,400,https://briljantbaby.nl/,Bad Request,,,,,,,,0,,,
Bambam,bambam.nl,baby,200,https://www.bambam.nl/,Bambam,,,,,,telefoon|mail|formulier,en-gb|nl-nl,2,carriere-pagina,ja,
Trixie Baby,trixie-baby.com,baby-be,200,https://www.trixie-baby.com/nl,Trixie - oneindige verbeelding,shopify,785,crisp,judgeme|googlereviews,klaviyo|gtm,telefoon|mail|formulier|chat,de|en|es|fr|nl,5,carriere-pagina,ja,
Nattou,nattou.com,baby-be,200,https://nattou.com/,[¤wï(Nattou Gakkai),,,,,,mail,,0,,,
Kivo Petfood,kivopetfood.nl,huisdier,200,https://kivopetfood.nl/,Kivo natural petfood,woocommerce,,,,gtm,telefoon|mail|formulier,,0,carriere-pagina,,
Dogs Companion,dogscompanion.nl,huisdier,200,https://www.dogscompanion.com/nl/,"Dog&#039;s Companion Hondenkussen – Comfort, Stijl &amp; Duurzaamheid voor Uw Hond - Dog&#",lightspeed|ccvshop,,zendesk,kiyoh,gtm,telefoon|formulier|chat,,0,,,
Casimoda,casimoda.nl,elektronica-accessoires,200,https://www.casimoda.nl/,Telefoonhoesjes en smartphonehoesjes online kopen - Casimoda.nl,lightspeed|ccvshop,,,,gtm|meta-pixel,formulier,,0,,,
Orthica,orthica.nl,supplementen,200,https://www.orthica.nl/,Orthica | Hét kwaliteitsmerk in supplementen van Nederlandse bodem,,,,,gtm,telefoon|formulier,nl,1,carriere-pagina,,
Nutriphyt,nutriphyt.be,supplementen-be,200,https://www.nutriphyt.be/nl/,Nutriphyt – Natuurlijk &amp; Wetenschappelijk Onderbouwde Voedingssupplementen,magento,,hubspot-chat,googlereviews,gtm,telefoon|mail|formulier|chat,fr-be|nl-be,2,,ja,
Physalis,physalis.eu,supplementen-be,200,https://trusted.domainseller.site/physalis.eu,physalis.eu is for sale!,,,,trustpilot,,,,0,,,
Purasana,purasana.com,supplementen-be,200,https://purasana.com/,"100% natuurlijke en biologische producten | Purasana, your natural protection",commercetools,,,trustpilot|trustedshops,,telefoon|formulier,en|fr-be|nl-be,3,,ja,
Springfield Nutraceuticals,springfieldnutra.com,supplementen,404,https://springfieldnutra.com/,,,,,,,,,0,,,
Yogi and Yousef,yogiandyousef.com,lifestyle,DEAD,,,,,,,,,,,,,
Studio Sabine,studiosabine.nl,lifestyle,200,https://studiosabine.nl/,Dovendi - Domain for sale,shopware,,,feedbackcompany,,,,0,,,
Vij5,vij5.nl,home,200,https://vij5.nl/,"Vij5 - Uitgevers van Design Producten, Dutch Design uit Eindhoven",woocommerce,,,,klaviyo|gtm|meta-pixel,mail,en|nl,2,,ja,
Zenzee,zenzee.nl,verlichting,404,http://zenzee.nl/,Domein Gereserveerd - Mijndomein.nl,,,,,,,,0,,,
Van Moof,vanmoof.com,mobiliteit,200,https://www.vanmoof.com/nl-NL,Bekroonde e-bikes met high-tech functies | VanMoof,,,,googlereviews,klaviyo|gtm,,,0,carriere-pagina,ja,
Matt Sleeps,mattsleeps.com,slapen,200,https://www.mattsleeps.com/nl,Het aanpasbare matras | Bedden en Matrassen | Matt Sleeps,,,intercom,trustpilot|googlereviews,klaviyo,telefoon|formulier|chat,,0,,ja,
Urban Sofa,urbansofa.nl,home,DEAD,,,,,,,,,,,,,
Bodilson,bodilson.com,home,200,https://bodilson.com/,Namthip88: 16 à¸ªà¸¥à¹à¸­à¸à¹à¸§à¹à¸à¸à¸£à¸ PG à¹à¸à¸à¸à¹à¸²à¸¢ à¸à¹à¸²à¸¢à¸,,,,,,,,0,carriere-pagina,,
Kabrita,kabrita.nl,baby-voeding,200,https://kabrita.nl/,Milde flesvoeding op basis van geitenmelk &ndash; Kabrita Nederland - Nederland,shopify,6,whatsapp-widget,trustpilot|judgeme|googlereviews,klaviyo|gtm,telefoon|whatsapp|chat,ar-ae|ar-sa|de-de|en-ae|en-ca|en-gb|en-sa|en-us|es-mx|fr-fr|ko-kr|nl-nl|pl-pl|ro-ro|vi-vn,15,,ja,
Focus Fitness,focusfitness.nl,sport,200,https://www.focusfitness.nl/,Focus Fitness | Hét Nederlandse merk voor Fitnessapparatuur en sportartikelen!,magento,,ai-chat,,gtm,telefoon|formulier|chat,,0,,,
Kids Globe,kidsglobe.nl,speelgoed,200,https://kidsglobe.eu/,KidsGlobe,,,,,,telefoon|formulier,de|en|nl,3,,,
Van Manen,vanmanen.com,speelgoed,403,https://vanmanen.com/,403 Forbidden,,,,,,,,0,,,
Love2Wait,love2wait.com,zwangerschap,200,https://love2wait.nl/nl?shpxid=ed45f27d-755f-4f0f-bc0a-4d74ea038fde,Webwinkel Love2Wait &ndash; Love 2 Wait,shopify,248,,,,formulier,de|de-at|de-dk|de-es|de-fr|de-it|de-lu|de-pl|en|en-at|en-dk|en-es|en-fr|en-it|en-lu|en-pl|nl|nl-at|nl-dk|nl-es|nl-fr|nl-,24,,ja,
Yehwang,yehwang.com,sieraden,200,https://www.yehwang.com/,Wholesale Jewelry Supplier &amp; B2B Fashion Manufacturer,,,whatsapp-widget,trustpilot,gtm|meta-pixel|tiktok-pixel,mail|whatsapp|chat,de|en|es|fr|it|nl|tr,7,,ja,
Sencebeauty,sencebeauty.nl,beauty,200,https://www.sence-essentials.com/,Home | Sence Beauty &amp; Self-Care | sence-essentials.com,,,,,gtm,formulier,de|en|fr|nl,4,carriere-pagina,ja,
De Zeepfabriek,zeepfabriek.nl,huishoud,200,https://zeepfabriek.nl/,Nieuwbouw Nieuwegein - Zeepfabriek - Zeepfabriek Nieuwegein,,,,,gtm,formulier,,0,,,
Veneta,veneta.com,maatwerk-raamdecoratie,403,https://www.veneta.com/,Just a moment...,,,,,,,,0,,,
Grutto,grutto.com,food-abonnement,200,https://www.grutto.com/nl,,,,,,gtm|meta-pixel,,,0,,,
Pieter Pot,pieter-pot.nl,food-abonnement,200,https://pieter-pot.nl/,Pieter Pot,shopify,528,,,klaviyo,mail|formulier,,0,carriere-pagina,ja,
Rechtstreex,rechtstreex.nl,food-abonnement,200,https://lokalist.nl/bestellen,Bestellen | Lokalist,,,,,gtm,formulier,,0,,,
Boon Koffie,boonkoffie.nl,food-abonnement,200,https://boonkoffie.nl/,TransIP - Reserved domain,,,,trustpilot,,,,0,,,
Printenbind,printenbind.nl,personalisatie-print,200,https://www.printenbind.nl/,Print&amp;Bind voor goedkoop printen en inbinden,,,intercom|whatsapp-widget,trustpilot,gtm|meta-pixel,mail|whatsapp|formulier|chat,en,1,carriere-pagina,ja,
Hip en Hooray,hipenhooray.nl,personalisatie-print,DEAD,,,,,,,,,,,,,
Homey,homey.app,smart-home,200,https://homey.app/nl-nl/,Homey – Smart home works better together,,,,,,mail,da-dk|da-gl|de-at|de-be|de-ch|de-de|de-lu|en-ae|en-at|en-au|en-be|en-bg|en-br|en-ca|en-ch|en-co|en-cy|en-cz|en-de|en-dk|,82,carriere-pagina,,
Cowboy,cowboy.com,e-bike,200,https://cowboy.com/,Cowboy - The Ultimate Connected E-Bikes,shopify,,zendesk|intercom,trustpilot|googlereviews,gtm|meta-pixel,chat,,0,carriere-pagina,ja,
Ahooga,ahooga.com,e-bike,200,http://ahooga.com/,"AHOOGA, Around the World, Your Ford Model A Web Site",,,,,,mail,,0,,,
Amslod,amslod.nl,e-bike,DEAD,,,,,,,,,,,,,
Villette Fietsen,villettefietsen.nl,e-bike,200,https://www.villettefietsen.nl/,"Villette fietsen | Electric bikes, city e-bikes, e-mountain bikes",,,,googlereviews,,mail,en-gb|fr-fr|nl-nl,3,,ja,
Bikkel Bikes,bikkelbikes.nl,e-bike,200,http://bikkelbikes.nl/,TransIP - Reserved domain,,,,trustpilot,,,,0,,,
Bohemian Bikes,bohemianbikes.nl,e-bike,DEAD,,,,,,,,,,,,,
Dutch ID,dutchid.nl,e-bike,200,http://dutchid.nl/,STRATO - Domain reserved,,,,,,,,0,,,
Matchu Sports,matchusports.com,maatwerk-sport,200,https://www.matchusports.com/,Matchu Sports | Premium Sports Gear,woocommerce,,,,,formulier,,0,,,
Morgen Matras,morgen.nl,slapen,DEAD,,,,,,,,,,,,,
Otolift,otolift.com,maatwerk-mobiliteit,200,https://www.otolift.com/,Royal Otolift Stairlifts - Innovative and reliable stairlift solutions,,,,,gtm,,,0,,ja,
Stoffenmeisje,stoffenmeisje.nl,hobby,DEAD,,,,,,,,,,,,,
Hobbydots,hobbydots.nl,hobby,200,https://www.hobbydots.nl/nl/home,Hobbydots.nl - Uw Hobbydots leverancier,,,,,gtm,formulier,de|en|fr,3,,ja,
Mijn Naamketting,mijnnaamketting.nl,personalisatie-sieraden,200,https://www.myka.com/nl/,Ketting met Naam &amp; Naamketting - MYKA,,,,trustpilot|googlereviews,klaviyo|gtm,,,0,,,
Trouwringen Circles,circles.nl,sieraden,200,https://circles.nl/,,,,,,,,,0,,,
Kastenwinkel,kastenwinkel.nl,maatwerk-interieur,200,https://kastenwinkel.nl/,Kasten op maat laten maken | 5 jaar garantie | Kastenwinkel,,,,,gtm,,,0,,,
MySofa,mysofa.nl,maatwerk-interieur,DEAD,,,,,,,,,,,,,
Bank en Zo,bankenzo.nl,maatwerk-interieur,DEAD,,,,,,,,,,,,,
Duverger,duverger.be,maatwerk-interieur,DEAD,,,,,,,,,,,,,
Traprenovatie Upstairs,upstairs.nl,maatwerk-interieur,200,https://www.upstairs.com/nl-nl/,Perfectie in elke trede | Upstairs,,,smartsupp,feedbackcompany,gtm,telefoon|formulier|chat,de|en|nl|nl-be,4,carriere-pagina,ja,
Yustsome,yustsome.com,beauty,DEAD,,,,,,,,,,,,,
Skoon,skoon.com,beauty,200,https://skoon.com/,Skoon - Art Gallery in the Bays of Harris,woocommerce,,,,,formulier,,0,,,
De Nieuwe Vitamine,denieuwevitamine.nl,supplementen,DEAD,,,,,,,,,,,,,
Vitaday,vitaday.nl,supplementen,200,https://coolbest.nl/category/fruitdrink/,Fruitdrink Archives - Coolbest,,,,,gtm,formulier,,0,carriere-pagina,,
Nutrition Labs,nutritionlabs.nl,sportvoeding,DEAD,,,,,,,,,,,,,
Stacked Nutrition,stacked-nutrition.com,sportvoeding,DEAD,,,,,,,,,,,,,
Fit Butchers,fitbutchers.nl,food-abonnement,DEAD,,,,,,,,,,,,,
Positie kleding Bellymoda,bellymoda.nl,zwangerschap,DEAD,,,,,,,,,,,,,
